SERIES,CNTRY,TRN,AGG,UNIT,REF,CODE,COUNTRY,SUB-CHAPTER,TITLE,UNIT,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,,,,,,,
MKD.1.0.319.0.UTSG,MKD,1,0,319,0,UTSG,North Macedonia,01 Revenue (ESA 2010),Net social contributions received: general government :- ESA 2010 ,(Percentage of GDP at current prices (excessive deficit procedure)) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5492304,8.9795782,9.9509894,9.6785975,9.5088278,10.3153242,11.0315491,11.2249811,10.7458869,,,,,,,
SRB.1.0.319.0.UTSG,SRB,1,0,319,0,UTSG,Serbia,01 Revenue (ESA 2010),Net social contributions received: general government :- ESA 2010 ,(Percentage of GDP at current prices (excessive deficit procedure)) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4539355,11.7183572,11.9218108,11.6884064,13.1077108,12.7667382,12.0310704,12.7097093,12.893642,12.8557295,,,,,,,
TUR.1.0.319.0.UTSG,TUR,1,0,319,0,UTSG,Türkiye,01 Revenue (ESA 2010),Net social contributions received: general government :- ESA 2010 ,(Percentage of GDP at current prices (excessive deficit procedure)) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2808126,6.2444205,6.9536963,7.1351274,7.3262706,7.4254183,7.6254757,7.8868274,7.4423806,7.7360652,7.6100978,7.105204,6.8085763,5.3413728,6.265398,7.4638033,9.0731697,8.8343912,,,,,,,
ISL.1.0.319.0.UTSG,ISL,1,0,319,0,UTSG,Iceland,01 Revenue (ESA 2010),Net social contributions received: general government :- ESA 2010 ,(Percentage of GDP at current prices (excessive deficit procedure)) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6661959,2.7375922,2.7735757,2.7308859,2.7392151,2.9715967,2.922865,3.0879751,3.1340423,2.8547672,2.6197183,2.82296,3.7834516,3.7857956,3.5163579,3.5479015,3.5196464,3.4492666,3.3984127,3.3932792,3.4538551,3.2194403,3.0167069,2.976694,2.9768787,3.0335186,3.0654143,3.0037351,2.9045783,,,,,,,
NOR.1.0.319.0.UTSG,NOR,1,0,319,0,UTSG,Norway,01 Revenue (ESA 2010),Net social contributions received: general government :- ESA 2010 ,(Percentage of GDP at current prices (excessive deficit procedure)) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7436712,9.5134791,9.489635,10.2018333,10.0268227,8.9220824,9.2222673,9.8273498,9.7315736,9.3019887,8.8111537,8.6083643,8.8024866,8.6704918,9.6722482,9.4553479,9.334364,9.4054404,9.5872778,10.0086787,10.5122288,10.7437818,10.3715714,10.1398794,10.6440007,11.1730065,9.4518622,7.6068067,9.3894239,9.5946291,9.70605,9.7192786,,,,,,,
CHE.1.0.319.0.UTSG,CHE,1,0,319,0,UTSG,Switzerland,01 Revenue (ESA 2010),Net social contributions received: general government :- ESA 2010 ,(Percentage of GDP at current prices (excessive deficit procedure)) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8703147,6.8943322,6.8496521,6.585198,6.7155078,6.6724132,6.8626481,7.0192907,6.7543395,6.3972119,6.2817328,6.0994195,6.0162269,6.0835173,6.4049913,6.2188781,6.5122506,6.5930693,6.621544,6.5955812,6.6798763,6.6595281,6.6667059,6.5456221,6.6435238,7.1576617,6.8747908,6.686557,6.73006,6.6564524,6.7291814,6.6875525,,,,,,,
JPN.1.0.319.0.UTSG,JPN,1,0,319,0,UTSG,Japan,01 Revenue (ESA 2010),Net social contributions received: general government :- ESA 2010 ,(Percentage of GDP at current prices (excessive deficit procedure)) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2692642,7.4119019,7.4559324,7.4020083,7.4114684,7.6114356,7.5786067,7.4405882,7.4963628,7.70655,7.9327528,8.0850921,8.2332849,8.4429518,8.8228928,8.9267706,9.1740267,9.3235494,9.3867876,9.3793873,9.7326851,9.8630888,10.2226927,9.8037612,10.0028619,10.3000317,10.4614156,10.9120316,11.245258,11.2940146,11.8489356,12.1553197,12.2519612,12.4172772,12.3654844,12.6327281,12.7706288,13.0631455,13.2833241,13.6539139,13.6604466,13.7811454,13.4112728,13.4806881,13.694158,13.8010492,,,,,,,
USA.1.0.319.0.UTSG,USA,1,0,319,0,UTSG,United States,01 Revenue (ESA 2010),Net social contributions received: general government :- ESA 2010 ,(Percentage of GDP at current prices (excessive deficit procedure)) ,3.0421364,3.0237865,3.1626601,3.3885011,3.2726529,3.1658828,3.847979,4.058333,4.114172,4.3336625,4.3410854,4.4215135,4.6577699,5.3345924,5.549289,5.3354375,5.44317,5.4689009,5.6185174,5.8492015,5.8517688,6.1386493,6.2828725,6.2522186,6.4098763,6.5175471,6.6575233,6.6863774,6.9351723,6.8586637,6.9103647,7.0188851,7.0102006,6.9933932,7.0076913,7.0094319,6.9101644,6.8813923,6.9266874,6.9002817,6.9202646,6.9642595,6.9104542,6.8363935,6.8234397,6.7336355,6.7107917,6.6748016,6.7244162,6.6944779,6.5696851,5.9043386,5.876472,6.5722459,6.5810536,6.613904,6.6172388,6.649748,6.6179497,6.6395554,6.8138663,6.6098789,6.5779867,6.5750457,6.5218097,6.62,6.6,,,,,,,
EU27.1.0.0.0.UTAG,EU27,1,0,0,0,UTAG,European Union,01 Revenue (ESA 2010),Actual social contributions received: general government :- ESA 2010 ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,916.653,976.706,997.482,975.153,1022.571,1062.123,1102.906,1137.898,1177.93,1211.369,1252.768,1309.142,1372.37,1426.396,1408.928,1439.575,1484.587,1511.806,1539.669,1573.307,1615.895,1667.114,1738.038,1801.912,1851.974,1831.655,1942.663,2068.596,2210.744,2354.86,2492.347,2584.759,,,,,,,
EU15.1.0.0.0.UTAG,EU15,1,0,0,0,UTAG,European Union (15 countries),01 Revenue (ESA 2010),Actual social contributions received: general government :- ESA 2010 ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,941.661,1001.946,1036.107,1015.27,1067.599,1116.466,1154.007,1187.079,1233.395,1278.559,1317.764,1373.594,1428.106,1453.406,1430.223,1465.518,1505.509,1541.514,1562.289,1605.549,1668.212,1702.008,1757.145,1807.388,1863.184,1844.833,1965.309,2097.709,2206.928,2320.832,2459.922,2542.164,,,,,,,
EA19.1.0.0.0.UTAG,EA19,1,0,0,0,UTAG,Euro area (19 countries),01 Revenue (ESA 2010),Actual social contributions received: general government :- ESA 2010 ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,874.436,928.848,944.852,922.219,963.82,994.885,1030.343,1065.257,1106.788,1136.426,1168.003,1217.177,1267.181,1311.286,1308.468,1333.105,1369.004,1391.531,1417.013,1448.809,1484.558,1530.794,1589.354,1637.333,1676.264,1656.769,1753.823,1861.308,1972.815,2084.009,2199.878,2275.086,,,,,,,
EA20.1.0.0.0.UTAG,EA20,1,0,0,0,UTAG,Euro area,01 Revenue (ESA 2010),Actual social contributions received: general government :- ESA 2010 ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,877.097,931.792,948.06,925.435,966.892,998.019,1033.653,1068.657,1110.411,1140.358,1172.251,1221.834,1272.376,1316.977,1313.934,1338.32,1374.258,1396.63,1422.031,1454.024,1489.908,1536.253,1595.049,1643.292,1682.458,1662.63,1760.309,1868.623,1981.186,2093.844,2210.893,2286.85,,,,,,,
EA12.1.0.0.0.UTAG,EA12,1,0,0,0,UTAG,Euro area (12 countries),01 Revenue (ESA 2010),Actual social contributions received: general government :- ESA 2010 ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,867.554,921.464,936.669,913.29,954.811,984.78,1019.516,1053.477,1094.318,1122.893,1153.158,1200.844,1248.03,1289.394,1286.167,1310.58,1345.548,1367.338,1391.865,1422.594,1456.921,1501.716,1557.967,1603.17,1640.599,1620.021,1713.825,1817.576,1923.213,2029.382,2141.806,2213.311,,,,,,,
BEL.1.0.0.0.UTAG,BEL,1,0,0,0,UTAG,Belgium,01 Revenue (ESA 2010),Actual social contributions received: general government :- ESA 2010 ,Mrd EURO-BEF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.792,30.3594,31.5618,32.6769,33.9442,34.9191,36.4703,38.3017,39.1134,40.3821,41.5466,43.2404,45.9834,48.6208,49.6333,50.7363,53.1918,55.3545,56.6011,57.3049,58.884,58.1954,59.8576,61.188,63.285,62.3738,65.6622,71.5911,77.1683,80.7336,83.77734,86.44862,,,,,,,
BGR.1.0.0.0.UTAG,BGR,1,0,0,0,UTAG,Bulgaria,01 Revenue (ESA 2010),Actual social contributions received: general government :- ESA 2010 ,Mrd BGN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0845,0.1441,1.4177,2.0553,2.3862,2.9677,2.9756,3.1754,3.6922,4.0795,4.4202,4.2968,4.8903,5.3926,5.2731,4.9698,5.417,5.5961,6.116,6.5753,6.9657,7.3695,8.4565,9.5141,10.6136,11.0013,12.3145,13.8818,15.7539,18.1593,19.98178,21.27692,,,,,,,
CZE.1.0.0.0.UTAG,CZE,1,0,0,0,UTAG,Czechia,01 Revenue (ESA 2010),Actual social contributions received: general government :- ESA 2010 ,Mrd CZK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225.432,257.441,284.652,306.406,321.456,341.828,366.624,397.75,421.123,452.398,481.735,524.378,576.415,598.888,558.831,577.206,591.573,599.372,605.705,627.815,661.889,702.037,758.358,832.429,893.233,906.232,1009.645,1079.467,1165.684,1266.162,1345.93,1415.919,,,,,,,
DNK.1.0.0.0.UTAG,DNK,1,0,0,0,UTAG,Denmark,01 Revenue (ESA 2010),Actual social contributions received: general government :- ESA 2010 ,Mrd DKK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.821,12.415,12.99,13.289,21.648,25.086,25.008,18.269,18.496,18.7,18.809,18.644,19.091,18.848,18.352,19.472,20.131,18.653,16.769,16.645,16.595,16.518,16.498,16.474,16.485,17.028,17.77,17.185,17.085,17.558,18.32002,19.01618,,,,,,,
DEU.1.0.0.0.UTAG,DEU,1,0,0,0,UTAG,Germany,01 Revenue (ESA 2010),Actual social contributions received: general government :- ESA 2010 ,Mrd EURO-DEM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243.917,267.999,284.59,304.609,320.363,335.686,347.138,350.081,354.191,356.989,361.883,367.015,373.978,373.698,372.889,376.507,375.124,382.274,384.059,393.785,409.646,421.653,431.86,448.236,466.624,488.211,512.427,534.406,558.166,566.713,589.82,623.169,664.255,707.387,752.699,780.9637,,,,,,,
EST.1.0.0.0.UTAG,EST,1,0,0,0,UTAG,Estonia,01 Revenue (ESA 2010),Actual social contributions received: general government :- ESA 2010 ,Mrd EURO-EEK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,0.423,0.5081,0.5634,0.5935,0.6735,0.7435,0.8536,0.9229,1.0025,1.1468,1.3537,1.6834,1.891,1.7467,1.7945,1.8662,2.0002,2.0774,2.2343,2.355,2.5021,2.7158,2.9783,3.2564,3.3307,3.6516,4.1221,4.5782,4.8739,5.135813,5.343183,,,,,,,
IRL.1.0.0.0.UTAG,IRL,1,0,0,0,UTAG,Ireland,01 Revenue (ESA 2010),Actual social contributions received: general government :- ESA 2010 ,Mrd EURO-IEP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3834,2.4461,2.66,2.914,3.3635,3.9662,4.5944,5.036,5.3767,5.9752,6.5366,7.1686,8.1432,8.3506,8.8206,8.4579,8.8334,8.3702,8.8707,9.4196,9.9986,10.4949,11.1018,12.1019,13.1098,12.2661,13.792,15.9667,17.3729,18.941,20.19451,21.39449,,,,,,,
GRC.1.0.0.0.UTAG,GRC,1,0,0,0,UTAG,Greece,01 Revenue (ESA 2010),Actual social contributions received: general government :- ESA 2010 ,Mrd EURO-GRD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.371,9.332,10.633,11.873,12.839,14.284,15.514,18.128,19.688,20.369,21.336,22.35,24.94,25.986,24.15,24.748,22.138,20.932,19.354,18.575,18.807,19.313,20.778,21.446,22.26,21.352,23.417,25.186,25.245,27.583,28.61543,29.87128,,,,,,,
ESP.1.0.0.0.UTAG,ESP,1,0,0,0,UTAG,Spain,01 Revenue (ESA 2010),Actual social contributions received: general government :- ESA 2010 ,Mrd EURO-ESP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.043,54.377,58.486,63.084,68.9,75.13,82.54,88.209,94.901,102.05,109.88,119.128,128.025,132.954,129.597,128.39,126.982,121.612,119.084,121.329,124.005,128.238,135.259,142.321,153.514,155.189,164.755,173.238,189.91,203.194,211.7281,220.6207,,,,,,,
FRA.1.0.0.0.UTAG,FRA,1,0,0,0,UTAG,France,01 Revenue (ESA 2010),Actual social contributions received: general government :- ESA 2010 ,Mrd EURO-FRF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.954,66.742,77.496,86.952,102.852,116.735,129.497,138.427,145.064,154.796,165.34,179.955,190.861,197.551,207.021,210.515,215.382,221.6382,228.4147,229.8502,212.7201,222.9163,231.7676,241.1012,250.1975,260.8052,268.9794,279.5068,295.2876,305.9237,314.0183,315.753,322.078,334.928,344.461,355.234,364.596,368.66,373.404,385.815,379.11,361.888,346.095,372.809,395.795,413.49,431.065,443.3972,452.2915,,,,,,,
HRV.1.0.0.0.UTAG,HRV,1,0,0,0,UTAG,Croatia,01 Revenue (ESA 2010),Actual social contributions received: general government :- ESA 2010 ,Mrd EURO-HRK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4152,2.6953,2.9722,3.0424,3.0912,3.1788,3.287,3.3446,3.6399,3.9124,4.1726,4.528,5.0594,5.4565,5.3256,5.2152,5.254,5.0985,5.0178,5.2152,5.3506,5.4597,5.6949,5.9587,6.1934,5.8608,6.4859,7.3148,8.3712,9.8351,11.01531,11.76435,,,,,,,
ITA.1.0.0.0.UTAG,ITA,1,0,0,0,UTAG,Italy,01 Revenue (ESA 2010),Actual social contributions received: general government :- ESA 2010 ,Mrd EURO-ITL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.764,145.871,153.486,134.409,138.974,141.832,149.948,157.811,164.873,173.07,178.585,180.87,199.278,209.088,208.113,209.629,212.193,211.691,211.15,210.327,215.054,216.761,221.806,230.126,237.784,226.055,242.912,256.002,263.886,275.193,300.2308,308.7876,,,,,,,
CYP.1.0.0.0.UTAG,CYP,1,0,0,0,UTAG,Cyprus,01 Revenue (ESA 2010),Actual social contributions received: general government :- ESA 2010 ,Mrd EURO-CYP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4647,0.4943,0.5278,0.5808,0.6007,0.6466,0.7202,0.7359,0.8211,0.9724,1.1107,1.1284,1.1947,1.3325,1.4642,1.5523,1.566,1.5104,1.3623,1.4446,1.4829,1.5429,1.71,1.8469,2.3781,2.4115,2.7452,3.122,3.9502,4.0801,4.33393,4.571274,,,,,,,
LVA.1.0.0.0.UTAG,LVA,1,0,0,0,UTAG,Latvia,01 Revenue (ESA 2010),Actual social contributions received: general government :- ESA 2010 ,Mrd EURO-LVL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44533,0.48243,0.54946,0.60833,0.64689,0.66926,0.68117,0.75872,0.80516,0.91671,1.0787,1.37695,1.77374,1.93821,1.7418,1.55348,1.76465,1.90285,1.93327,1.98245,2.03011,2.06712,2.25955,2.65856,2.9111,3.00089,3.19268,3.61033,4.07189,4.42822,4.738195,4.970367,,,,,,,
LTU.1.0.0.0.UTAG,LTU,1,0,0,0,UTAG,Lithuania,01 Revenue (ESA 2010),Actual social contributions received: general government :- ESA 2010 ,Mrd EURO-LTL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5592,0.7466,1.0523,1.3003,1.2845,1.3623,1.3764,1.4224,1.5328,1.6643,1.8655,2.1978,2.6458,3.1148,3.4282,3.3217,3.5036,3.6415,3.8257,4.0984,4.3734,4.7247,5.1702,5.7816,4.7387,5.1234,5.7497,6.6557,7.5265,8.3994,9.146947,9.841657,,,,,,,
LUX.1.0.0.0.UTAG,LUX,1,0,0,0,UTAG,Luxembourg,01 Revenue (ESA 2010),Actual social contributions received: general government :- ESA 2010 ,Mrd EURO-LUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49666,1.58026,1.67213,1.79313,2.03247,2.24123,2.48288,2.63517,2.80769,2.96473,3.19053,3.38756,3.7278,4.00538,4.26594,4.41529,4.69348,4.96034,5.1646,5.32614,5.58549,5.77739,6.17069,6.5317,6.91281,7.26095,7.7121,8.369,9.2293,9.3353,9.82074,10.27249,,,,,,,
HUN.1.0.0.0.UTAG,HUN,1,0,0,0,UTAG,Hungary,01 Revenue (ESA 2010),Actual social contributions received: general government :- ESA 2010 ,Mrd HUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,847.404,969.273,1218.76,1420.081,1509.714,1738.929,1961.317,2202.45,2368.596,2538.683,2760.046,2974.874,3444.285,3644.802,3388.06,3222.224,3663.007,3940.768,4040.167,4315.366,4601.055,4958.86,4999.582,5228.645,5561.836,5365.727,5782.609,6482.571,7466.765,8442.639,9190.04,9936.917,,,,,,,
MLT.1.0.0.0.UTAG,MLT,1,0,0,0,UTAG,Malta,01 Revenue (ESA 2010),Actual social contributions received: general government :- ESA 2010 ,Mrd EURO-MTL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1835,0.1917,0.2157,0.2147,0.2297,0.2587,0.2739,0.2835,0.2883,0.2935,0.3068,0.3149,0.3222,0.3518,0.3518,0.3709,0.4003,0.4144,0.4375,0.4684,0.5043,0.5424,0.5952,0.6593,0.6986,0.7362,0.8106,0.8876,0.966,1.0658,1.138735,1.214591,,,,,,,
NLD.1.0.0.0.UTAG,NLD,1,0,0,0,UTAG,Netherlands,01 Revenue (ESA 2010),Actual social contributions received: general government :- ESA 2010 ,Mrd EURO-NLG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.722,49.856,52.661,56.138,61.842,66.376,65.016,64.803,70.202,70.581,71.722,81.531,81.968,85.786,83.222,87.874,89.197,92.544,95.967,96.543,95.479,103.887,104.813,111.432,114.631,114.313,116.841,124.463,129.202,135.341,143.9194,150.1207,,,,,,,
AUT.1.0.0.0.UTAG,AUT,1,0,0,0,UTAG,Austria,01 Revenue (ESA 2010),Actual social contributions received: general government :- ESA 2010 ,Mrd EURO-ATS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.37022,27.38552,28.13965,29.10052,30.12459,30.94037,31.84373,32.32943,33.13909,34.46152,35.83091,37.38081,39.00048,40.7568,41.26643,42.10246,44.03664,45.61054,47.53884,49.07305,50.70005,52.58204,54.68328,57.45993,59.90519,59.89884,63.18712,66.81127,71.74047,77.50428,81.21674,84.10805,,,,,,,
POL.1.0.0.0.UTAG,POL,1,0,0,0,UTAG,Poland,01 Revenue (ESA 2010),Actual social contributions received: general government :- ESA 2010 ,Mrd PLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.808,49.773,61.015,70.791,93.027,97.411,105.922,105.123,107.826,113.948,121.522,129.654,141.457,145.451,153.386,157.432,175.827,196.62,204.634,210.121,225.759,238.655,257.53,280.507,305.399,318.684,344.768,396.557,456.138,518.916,553.3697,584.3584,,,,,,,
PRT.1.0.0.0.UTAG,PRT,1,0,0,0,UTAG,Portugal,01 Revenue (ESA 2010),Actual social contributions received: general government :- ESA 2010 ,Mrd EURO-PTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8286,7.1171,7.9005,8.578,9.2952,10.1681,11.1066,11.7428,12.0586,12.3736,13.0266,13.4879,14.3048,14.9956,15.0118,15.4625,15.672,14.6214,15.139,15.5759,16.1823,16.9141,17.9553,19.1314,20.6019,20.9429,22.4708,24.7853,27.7267,30.4335,32.22908,33.8083,,,,,,,
ROM.1.0.0.0.UTAG,ROM,1,0,0,0,UTAG,Romania,01 Revenue (ESA 2010),Actual social contributions received: general government :- ESA 2010 ,Mrd RON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5832,0.8261,1.7765,3.4165,6.0757,8.9768,12.9172,16.3172,18.7523,22.8046,27.9045,33.6565,40.8475,48.6253,47.5896,45.7815,50.8079,51.953,54.8174,56.9833,57.6043,61.2537,72.4383,100.4989,111.4906,117.519,124.334,139.3365,163.041,192.0775,211.6889,229.5373,,,,,,,
SVN.1.0.0.0.UTAG,SVN,1,0,0,0,UTAG,Slovenia,01 Revenue (ESA 2010),Actual social contributions received: general government :- ESA 2010 ,Mrd EURO-SIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82548,1.89196,2.05105,2.29215,2.53688,2.81494,3.19386,3.53355,3.81333,4.1168,4.38807,4.63887,5.03649,5.55874,5.62808,5.74623,5.78161,5.73635,5.64736,5.7464,5.98298,6.22253,6.62622,7.08062,7.58661,7.90474,8.559,9.1371,9.98583,11.3709,12.35946,13.35687,,,,,,,
SVK.1.0.0.0.UTAG,SVK,1,0,0,0,UTAG,Slovakia,01 Revenue (ESA 2010),Actual social contributions received: general government :- ESA 2010 ,Mrd EURO-SKK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.90154,3.42409,3.58275,3.89603,3.93092,4.40908,4.83988,5.37967,5.66021,5.97735,6.30515,6.53792,7.26668,7.99498,7.94709,8.18509,8.57357,8.9876,9.86449,10.24062,10.90765,11.47597,12.31039,13.15809,14.09602,14.24144,15.28919,16.19673,18.52336,20.40932,21.21831,22.47722,,,,,,,
